Model A :: String;Model A: Object Count :: Size;Model A: Reference Count :: Size;Model B :: String;Model B: Object Count :: Size;Model B: Reference Count :: Size;Rule Set Reduction :: Time;Execution: Create Graphs + Execute Recognition Rules :: Time;Create Graph :: Split Time :: Time;Create Graph :: Split Time :: Minimum;Create Graph :: Split Time :: Minimum Info;Create Graph :: Split Time :: Maximum;Create Graph :: Split Time :: Maximum Info;Create Graph :: Split Time :: Average;Matching: Recognition Rule :: Split Time :: Time;Matching: Recognition Rule :: Split Time :: Minimum;Matching: Recognition Rule :: Split Time :: Minimum Info;Matching: Recognition Rule :: Split Time :: Maximum;Matching: Recognition Rule :: Split Time :: Maximum Info;Matching: Recognition Rule :: Split Time :: Average;Graph: Nodes :: Minimum;Graph: Nodes :: Minimum Info;Graph: Nodes :: Maximum;Graph: Nodes :: Maximum Info;Graph: Nodes :: Average;Graph: Edges :: Minimum;Graph: Edges :: Minimum Info;Graph: Edges :: Maximum;Graph: Edges :: Maximum Info;Graph: Edges :: Average;Full Graph: Nodes :: Size;Full Graph: Edges :: Size;Difference: Add Object :: Size;Difference: Remove Object :: Size;Difference: Add Reference :: Size;Difference: Remove Reference :: Size;Difference: Attribute Value Changes :: Size;Difference: Correspondences :: Size;Difference: Low Level Changes :: Size;Difference: Low Level Changes In SCS :: Size;Difference: Low Level Changes Not In SCS :: Size;Difference: Semantic Change Sets :: Size;RR: Applied :: Size;RR: Filtered :: Size;RR: Add Object :: Count;RR: Remove Object :: Count;RR: Add Reference :: Count;RR: Remove Reference :: Count;RR: Attribute Value Changes :: Count;RR: Correspondences :: Count
String;Integer;Integer;String;Integer;Integer;Decimal;Decimal;Decimal;Decimal;String;Decimal;String;Decimal;Decimal;Decimal;String;Decimal;String;Decimal;Decimal;String;Decimal;String;Decimal;Decimal;String;Decimal;String;Decimal;Integer;Integer;Integer;Integer;Integer;Integer;Integer;Integer;Integer;Integer;Integer;Integer;Integer;Integer;Integer;Integer;Integer;Integer;Integer;Integer
168;1525;6452;169;1524;6450;0;0,015;0;0;rr:deleteEEnumLiteral_IN_EEnum;0;rr:deleteEEnumLiteral_IN_EEnum;0;0;0;rr:deleteEEnumLiteral_IN_EEnum;0;rr:deleteEEnumLiteral_IN_EEnum;0;1235;rr:unsetEReferenceRefEOppositeToEReference;2610;rr:deleteEAnnotation_IN_EModelElement;1594,682;4135;rr:unsetEReferenceRefEOppositeToEReference;15415;rr:deleteEAnnotation_IN_EModelElement;8453,653;4145;17599;0;1;0;2;0;1013;3;3;0;1;1;175;0;1;0;2;0;0
169;1524;6450;170;1528;6470;0;0,093;0,062;0;rr:setEOperation_eType_TO_EClassifier;0,016;rr:createEAttributeInEClass;0,009;0,016;0;rr:setEOperation_eType_TO_EClassifier;0,016;rr:createEAttributeAsiDInEClass;0,002;1235;rr:unsetEReferenceRefEOppositeToEReference;2611;rr:deleteEAnnotation_IN_EModelElement;1596,79;4144;rr:unsetEReferenceRefEOppositeToEReference;15438;rr:deleteEAnnotation_IN_EModelElement;8474,608;4160;17662;2;0;6;0;0;1013;8;8;0;5;7;169;4;0;13;0;0;0
170;1528;6470;171;1516;6406;0;0,078;0,078;0;rr:deleteEReferenceInEClass;0,016;rr:deleteEAttributeInEClass;0,011;0;0;rr:deleteEReferenceInEClass;0;rr:deleteEReferenceInEClass;0;1231;rr:unsetEReferenceRefEOppositeToEReference;2603;rr:deleteEAnnotation_IN_EModelElement;1592,455;4159;rr:unsetEReferenceRefEOppositeToEReference;15417;rr:deleteEAnnotation_IN_EModelElement;8476,915;4175;17701;0;6;0;18;0;1009;24;24;0;16;7;169;0;4;0;13;0;0
171;1516;6406;172;1512;6386;0;0,078;0,078;0;rr:deleteEReferenceInEClass;0,016;rr:deleteEAttributeInEClass;0,011;0;0;rr:deleteEReferenceInEClass;0;rr:deleteEReferenceInEClass;0;1229;rr:unsetEReferenceRefEOppositeToEReference;2593;rr:deleteEAnnotation_IN_EModelElement;1585,46;4126;rr:unsetEReferenceRefEOppositeToEReference;15316;rr:deleteEAnnotation_IN_EModelElement;8408,136;4130;17516;0;2;0;6;0;1007;8;8;0;5;7;169;0;4;0;13;0;0
172;1512;6386;173;1516;6406;0;0,079;0,048;0;rr:setEOperation_eType_TO_EClassifier;0,017;rr:setEParameter_eType_TO_EClassifier;0,008;0,015;0;rr:setEOperation_eType_TO_EClassifier;0,015;rr:createEAttributeInEClass;0,002;1229;rr:unsetEReferenceRefEOppositeToEReference;2593;rr:deleteEAnnotation_IN_EModelElement;1585,812;4127;rr:unsetEReferenceRefEOppositeToEReference;15317;rr:deleteEAnnotation_IN_EModelElement;8409,926;4129;17511;2;0;6;0;0;1007;8;8;0;6;6;170;3;0;11;0;0;0
173;1516;6406;174;1526;6482;0;0,344;0,613;0;rr:createEClass_IN_EPackage;0,047;rr:createEAttributeAsiDInEClass;0,022;0,031;0;rr:createEClassAsInterfaceInEPackage;0,016;rr:move_EAttribute_to_neighbour;0,001;1231;rr:unsetEReferenceRefEOppositeToEReference;2604;rr:deleteEAnnotation_IN_EModelElement;1593,557;4197;rr:unsetEReferenceRefEOppositeToEReference;15473;rr:deleteEAnnotation_IN_EModelElement;8526,71;4214;17893;7;0;25;8;0;1009;40;40;0;38;28;148;14;1;53;18;0;13
174;1526;6482;175;1528;6494;0;0,078;0,078;0;rr:createEAttributeInEClass;0,016;rr:setEParameter_eType_TO_EClassifier;0,013;0;0;rr:setEOperation_eType_TO_EClassifier;0;rr:setEOperation_eType_TO_EClassifier;0;1238;rr:unsetEReferenceRefEOppositeToEReference;2619;rr:deleteEAnnotation_IN_EModelElement;1599,955;4147;rr:unsetEReferenceRefEOppositeToEReference;15503;rr:deleteEAnnotation_IN_EModelElement;8502,25;4157;17697;1;0;3;0;0;1016;4;4;0;3;6;170;3;0;11;0;0;0
175;1528;6494;176;1532;6511;0;0,094;0,078;0;rr:setEOperation_eType_TO_EClassifier;0,016;rr:createEOperation_IN_EClass;0,011;0;0;rr:setEOperation_eType_TO_EClassifier;0;rr:setEOperation_eType_TO_EClassifier;0;1239;rr:unsetEReferenceRefEOppositeToEReference;2623;rr:deleteEAnnotation_IN_EModelElement;1602,835;4156;rr:unsetEReferenceRefEOppositeToEReference;15535;rr:deleteEAnnotation_IN_EModelElement;8523,983;4172;17759;2;0;6;0;0;1017;8;8;0;5;7;169;4;0;13;0;0;0
176;1532;6511;177;1538;6552;0;0,094;0,094;0;rr:createEOperation_IN_EClass;0,016;rr:setEReference_eOpposite_TO_EReference;0,01;0;0;rr:createBidirectionalReference;0;rr:createBidirectionalReference;0;1243;rr:unsetEReferenceRefEOppositeToEReference;2630;rr:deleteEAnnotation_IN_EModelElement;1607,773;4189;rr:unsetEReferenceRefEOppositeToEReference;15604;rr:deleteEAnnotation_IN_EModelElement;8570,375;4200;17884;3;0;13;0;0;1019;16;16;0;12;9;167;5;0;24;0;0;0
177;1538;6552;178;1541;6556;0;0,062;0,062;0;rr:setEAttributeLowerBound;0,016;rr:setEParameterLowerBound;0,008;0;0;rr:setEParameterLowerBound;0;rr:setEParameterLowerBound;0;1248;rr:unsetEReferenceRefEOppositeToEReference;2642;rr:createEAnnotation_IN_EModelElement;1610,398;4196;rr:unsetEReferenceRefEOppositeToEReference;15654;rr:createEAnnotation_IN_EModelElement;8576,074;4194;17862;3;0;4;0;1;1022;8;8;0;5;8;168;2;0;3;0;6;6
